Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C15, C17, C20, C22, C3, C5, C7, C9",0805,11,0.1uF,C15850
"C10, C12, C14, C16, C2, C4, C6, C8",0805,8,22nF,C1729
C19,0805,1,0.33uF,C73142
"D1, D2, D3, D4, D5, D6, D7, D8",0805,8,Touch_Indicator,C2297
"R1, R11, R13, R15, R3, R5, R7, R9",0805,8,150R,C17471
"R10, R12, R14, R16, R2, R4, R6, R8",0805,8,10K,C17414
"R17, R18",0805,2,100,C17414
"U1, U10, U2, U3, U4, U5, U6, U7",AT42QT1010-TSGR_1,8,AT42QT1010,C74512
U11,TO-220-3_Horizontal_TabDown,1,L7805,C111887
U13,SOT-23-6_Handsoldering,1,SN74LVC2G17,C10429
U8,SOP-16_3.9x9.9mm_P1.27mm,1,SN74HC165DR,C61060
